sort,organization,role,location,dates,bullets
1,George Washington University Fabrication Lab,Lab Technician Assistant,"Washington, DC",August 2024 - Present,"Keep the lab's shared equipment running for a campus-wide base of several hundred students and faculty a week: roughly a dozen 3D printers, three laser cutters, a 3D scanner, a vinyl cutter, and large-format printers. | Diagnose and repair hardware and software faults on the machines, and walk students through fabrication workflows at the point of use. | Prototype consumer-product parts with the lab director, drafted in Adobe Illustrator and cut on the laser cutter."
2,UAB Department of Health Services Administration,Research Intern,"Birmingham, AL",June - July 2025,"Worked in Dr. Abdulaziz Ahmed's research group on a federally funded project to predict and simulate emergency-department overcrowding and build decision-support tools for it. | Preprocessed and harmonized messy healthcare datasets for feature engineering, and prepared and debugged the Python pipeline. | Helped tune hyperparameters for the machine-learning models and prepared analysis summaries for the group."
